الوزن,وزن الجمع,نوع الجمع ,مثال,ملاحظات,,,,,,,,,,,,,,,,,,,,,
فُعْلَى,فُعَل,جموع الكثرة القياسية ,دُنْيا=دُنَا,و هو قياسي,,,,,,,,,,,,,,,,,,,,,
فُعْلَة,فُعَل,جموع الكثرة القياسية ,غُرْفَة=غُرَف,,,,,,,,,,,,,,,,,,,,,,
فُعْلَى,فُعَل,جموع الكثرة القياسية ,فُضْلَى = فُضَل,,,,,,,,,,,,,,,,,,,,,,
فُعُلَة,فُعَل,جموع الكثرة القياسية ,جُمُعَة=جُمَع,,,,,,,,,,,,,,,,,,,,,,
فِعْلَة,فِعَل,جموع الكثرة القياسية ,كِسْرَة=كِسَر,قياسي في كل اسم على وزن فِعْلَة اسم تام ؛ أي لم يحذف منه شيء,,,,,,,,,,,,,,,,,,,,,
فَاعٍ,فُعَلَة,جموع الكثرة القياسية ,رَامٍ= رُمَاة,كل وصف لمذكر عاقل على وزن فَاعِل مُعتل اللام بـ (الياء أو الواو),,,,,,,,,,,,,,,,,,,,,
فَاعِل,فَعَلَة,جموع الكثرة القياسية ,وَارِث=وَرَثَة,كل وصف على وزن فَاعِل لمذكر عاقل صحيح اللام ,,,,,,,,,,,,,,,,,,,,,
فَاعِل,فُعَّل,جموع الكثرة القياسية ,نَائِم - نُوَّم,,,,,,,,,,,,,,,,,,,,,,
فَعْلَان,فَعْلَى,جموع الكثرة القياسية ,عَطْشَان=عَطْشَى,كل وصف يدل على هلاك أ توجع أو عيب ,,,,,,,,,,,,,,,,,,,,,
فَعِيل,فَعْلَى,جموع الكثرة القياسية ,صَرِيع=صَرْعَى,مفرد بمعنى مَفْعُول ,,,,,,,,,,,,,,,,,,,,,
أَفْعَل,فَعْلَى,جموع الكثرة القياسية ,أَحْمَق=حَمْقَى,مفرد ,,,,,,,,,,,,,,,,,,,,,
فَيْعِل,فَعْلَى,جموع الكثرة القياسية ,مَيِّتٌ أصلها (مَيْوِت = فَيْعِل)الْجَمْعُ مَوْتَى,مفرد ,,,,,,,,,,,,,,,,,,,,,
فَاعِل,فَعْلَى,جموع الكثرة القياسية ,هَالِك=هَلْكَى,مفرد ,,,,,,,,,,,,,,,,,,,,,
فِعْلَة,فِعَلَة,جموع الكثرة القياسية ,قُرْط= قِرَطَة / قِرْد=قِرَدَة,كل اسم على وزن ( فُعْل أو فِعْل) صحيح الام ,,,,,,,,,,,,,,,,,,,,,
فَاعِل,فُعَّل,جموع الكثرة القياسية ,"ضَارِب،ضَارِبَة=ضُرَّب",كل وصف على وزن (فَاعِل أو فَاعِلَة) صحيح الام ,,,,,,,,,,,,,,,,,,,,,
فَاعِل,فُعَّال,جموع الكثرة القياسية ,قَارِئ=قُرَّاء,كل وصف على وزن فَاعِل صحيح الام لمذكر ,,,,,,,,,,,,,,,,,,,,,
فَعِيل,فِعَال,جموع الكثرة القياسية ,كَرِيمٌ=كِرَامٌ,,,,,,,,,,,,,,,,,,,,,,
فَعَل,فِعَال,جموع الكثرة القياسية ,جَبَل=جِبَال,لامها صحيحة غير مضعفة ,,,,,,,,,,,,,,,,,,,,,
فَعَلَة,فِعَال,جموع الكثرة القياسية ,رَقَبَة=رِقَاب,لامها صحيحة غير مضعفة ,,,,,,,,,,,,,,,,,,,,,
فُعْل,فِعَال,جموع الكثرة القياسية ,رُمْح=رِمَاح,غير واوي العين و لا يائي اللام  ,,,,,,,,,,,,,,,,,,,,,
فِعْل,فِعَال,جموع الكثرة القياسية ,ذِئْب=ذِئَاب,غير واوي العين و لا يائي اللام  ,,,,,,,,,,,,,,,,,,,,,
فَعْلَان,فِعَال,جموع الكثرة القياسية ,"غَضْبَان،مؤنثه:غَضْبَى ، غَضْبَانَة=(غِضَاب)",وصف,,,,,,,,,,,,,,,,,,,,,
فَعِل,فُعُول,جموع الكثرة القياسية ,مَلِك=مُلَوك,,,,,,,,,,,,,,,,,,,,,,
فَعْل,فُعُول,جموع الكثرة القياسية ,كَعْب=كُعُوب,,,,,,,,,,,,,,,,,,,,,,
فِعْل,فُعُول,جموع الكثرة القياسية ,ضِرْس=ضُرُوس,,,,,,,,,,,,,,,,,,,,,,
فَاعِل,فِعْلَان,جموع الكثرة القياسية ,حَائِطٌ=حِيطَانٌ,,,,,,,,,,,,,,,,,,,,,,
فُعْل,فِعْلَان,جموع الكثرة القياسية ,كُوز= كِيزَان,معتل العين بالواو,,,,,,,,,,,,,,,,,,,,,
فُعَل,فَعْلَان,جموع الكثرة القياسية ,جُرَذ=جِرْذَان,,,,,,,,,,,,,,,,,,,,,,
فُعَال,فِعْلَان,جموع الكثرة القياسية ,غُلَام=غِلْمَان,,,,,,,,,,,,,,,,,,,,,,
فُعْلَان,فُعْلَان,جموع الكثرة القياسية ,غَدِيرٌ=غُدْرَانٌ,,,,,,,,,,,,,,,,,,,,,,
